404,30,37
429,45,36
429,92,36
453,66,37
453,72,37
453,102,37
456,129,37
460,55,37
460,123,37
460,178,37
460,18,38
460,22,38
491,138,38
511,5,37
511,114,37
511,148,37
517,156,38
517,163,38
517,172,38
517,182,38
523,34,37
523,118,37
528,192,37
528,143,38
536,0,39
536,10,39
536,38,39
568,44,39
568,50,39
568,59,39
568,65,39
594,71,39
633,76,39
633,81,39
633,85,39
635,54,39
635,90,39
635,95,39
635,107,39
669,103,39
669,122,39
669,130,39
669,151,39
721,196,39
721,14,40
721,99,40
721,126,40
721,134,40
736,160,40
738,166,39
738,188,39
804,29,40
804,4,41
804,24,41
815,177,40
825,33,41
825,41,41
908,111,41
908,115,41
908,147,41
908,155,41
908,171,41
909,142,41
909,181,41
10,19,41
10,47,41
10,62,41
14,192,41
33,8,42
38,74,41
39,15,42
49,79,41
49,34,42
87,56,41
89,137,41
89,27,42
100,68,42
110,86,41
114,94,42
118,119,42
118,0,43
138,106,42
138,167,42
138,51,43
138,90,43
138,100,43
143,152,42
149,128,42
154,187,42
154,124,43
154,132,43
162,161,42
162,175,42
168,196,43
197,12,44
212,22,43
212,37,43
230,42,43
230,110,43
230,146,43
230,63,44
230,73,44
230,82,44
262,114,44
263,5,44
263,46,44
266,58,44
266,139,44
270,183,43
270,157,44
311,16,45
311,77,45
311,86,45
311,105,45
311,118,45
338,168,44
338,178,44
339,30,45
339,54,45
339,127,45
345,153,45
345,162,45
345,173,45
358,191,45
358,9,46
395,96,45
395,135,45
395,24,46
409,39,46
413,50,46
425,1,46
425,67,46
428,92,46
428,143,46
435,101,46
437,195,45
437,109,46
440,149,46
440,186,46
440,20,47
470,182,46
470,6,47
485,34,47
493,43,47
501,60,47
501,79,47
509,122,47
546,131,47
546,13,48
581,64,48
598,72,47
599,165,47
599,83,48
611,113,47
611,156,47
611,28,48
617,55,48
617,128,48
637,97,48
650,135,48
663,169,48
666,176,48
672,88,47
672,103,48
674,93,48
674,144,48
682,117,49
686,160,49
686,190,49
698,148,49
723,38,48
772,2,49
797,196,48
823,7,49
823,123,49
827,51,49
845,21,49
858,12,50
862,46,49
862,75,49
868,42,49
891,181,48
19,17,50
19,68,50
25,152,49
30,107,50
51,30,50
81,111,50
106,185,49
106,89,50
116,133,50
125,164,49
173,137,50
182,172,50
274,25,51
274,34,51
290,57,51
342,84,50
353,79,51
362,156,51
387,188,51
398,62,51
490,71,51
519,38,52
519,93,52
572,127,51
600,97,52
608,101,52
612,168,51
630,0,52
641,115,52
644,143,51
645,50,51
647,4,52
661,177,51
673,122,52
689,147,52
794,181,52
852,8,52
852,151,52
887,193,51
893,15,53
190,45,52
642,20,53
727,66,53
847,75,53
863,105,53
300,87,53
392,160,53
41,131,53
41,29,54
60,82,54
60,109,54
60,136,54
60,164,54
63,52,54
63,170,54
63,184,54
63,195,54
73,9,55
73,24,55
73,34,55
107,175,53
107,39,54
107,91,54
107,125,54
107,141,54
107,154,54
113,57,55
113,70,55
113,97,55
113,118,55
113,179,55
113,189,55
113,0,56
113,43,56
153,149,55
166,15,56
166,75,56
166,80,56
166,102,56
166,107,56
181,50,56
186,64,56
186,113,56
188,129,56
188,134,56
188,163,56
188,168,56
188,174,56
188,5,57
188,10,57
188,20,57
188,25,57
192,194,56
192,30,57
194,35,57
194,55,57
218,85,57
218,90,57
243,69,57
255,122,57
255,139,57
258,95,57
258,144,57
258,153,57
275,158,57
275,184,57
275,179,58
301,41,58
301,48,58
301,61,58
301,74,58
309,117,57
327,79,58
327,101,58
327,106,58
327,111,58
327,189,58
327,195,58
333,87,58
334,0,59
452,15,59
452,31,59
452,92,59
452,123,59
452,128,59
454,133,59
497,138,59
497,145,59
497,150,59
497,159,59
500,51,59
522,164,59
553,169,59
553,174,59
553,5,60
553,10,60
553,20,60
553,25,60
553,36,60
573,56,60
573,66,60
573,71,60
573,97,60
587,44,60
587,82,60
587,114,60
590,76,60
590,103,60
590,108,60
591,119,60
591,184,60
591,194,60
591,30,61
591,61,61
649,87,61
649,125,61
649,130,61
651,52,61
670,153,60
670,178,60
690,14,61
690,39,61
690,93,61
690,141,61
693,135,61
693,146,61
693,160,61
731,189,61
731,0,62
731,165,62
758,47,62
758,75,62
758,102,62
758,107,62
788,170,61
788,6,62
788,21,62
788,26,62
788,57,62
788,67,62
788,81,62
824,116,62
824,155,62
824,180,62
848,34,62
848,185,62
848,193,62
874,16,63
874,41,63
874,86,63
874,95,63
881,62,63
881,121,63
881,126,63
881,133,63
895,111,63
895,144,63
5,49,63
11,150,63
18,161,63
18,171,63
29,1,64
36,9,64
47,27,64
61,32,64
62,56,64
72,68,64
72,73,64
72,100,64
85,79,64
85,106,64
126,90,64
126,115,64
126,137,64
128,176,64
132,156,64
142,187,64
142,195,64
142,14,65
142,21,65
142,37,65
151,42,65
151,61,65
156,84,65
156,129,65
156,164,65
185,122,65
185,145,65
185,151,65
200,181,65
206,170,65
207,0,66
208,5,66
214,47,66
231,95,66
246,53,66
246,107,66
256,191,66
268,140,66
268,159,66
271,186,66
291,77,66
291,117,66
291,10,67
306,20,67
306,26,67
312,65,66
323,31,67
323,70,67
325,36,67
329,89,67
329,100,67
329,112,67
346,134,67
346,169,67
356,41,67
356,60,67
